,Ligand,Receptor,Pathway,Category
0,Tgfb1,Tgfbr1,TGFb,Secreted Signaling
1,Tgfb1,Tgfbr2,TGFb,Secreted Signaling
2,Tgfb2,Tgfbr1,TGFb,Secreted Signaling
3,Tgfb2,Tgfbr2,TGFb,Secreted Signaling
4,Tgfb3,Tgfbr1,TGFb,Secreted Signaling
5,Tgfb3,Tgfbr2,TGFb,Secreted Signaling
6,Tgfb1,Acvr1b,TGFb,Secreted Signaling
7,Tgfb1,Tgfbr2,TGFb,Secreted Signaling
8,Tgfb1,Acvr1c,TGFb,Secreted Signaling
9,Tgfb1,Tgfbr2,TGFb,Secreted Signaling
10,Tgfb2,Acvr1b,TGFb,Secreted Signaling
11,Tgfb2,Tgfbr2,TGFb,Secreted Signaling
12,Tgfb2,Acvr1c,TGFb,Secreted Signaling
13,Tgfb2,Tgfbr2,TGFb,Secreted Signaling
14,Tgfb3,Acvr1b,TGFb,Secreted Signaling
15,Tgfb3,Tgfbr2,TGFb,Secreted Signaling
16,Tgfb3,Acvr1c,TGFb,Secreted Signaling
17,Tgfb3,Tgfbr2,TGFb,Secreted Signaling
18,Tgfb1,Acvr1,TGFb,Secreted Signaling
19,Tgfb1,Tgfbr1,TGFb,Secreted Signaling
20,Tgfb1,Tgfbr2,TGFb,Secreted Signaling
21,Tgfb2,Acvr1,TGFb,Secreted Signaling
22,Tgfb2,Tgfbr1,TGFb,Secreted Signaling
23,Tgfb2,Tgfbr2,TGFb,Secreted Signaling
24,Tgfb3,Acvr1,TGFb,Secreted Signaling
25,Tgfb3,Tgfbr1,TGFb,Secreted Signaling
26,Tgfb3,Tgfbr2,TGFb,Secreted Signaling
27,Bmp2,Bmpr1a,BMP,Secreted Signaling
28,Bmp2,Acvr2a,BMP,Secreted Signaling
29,Bmp2,Bmpr1a,BMP,Secreted Signaling
30,Bmp2,Acvr2b,BMP,Secreted Signaling
31,Bmp2,Bmpr1a,BMP,Secreted Signaling
32,Bmp2,Bmpr2,BMP,Secreted Signaling
33,Bmp2,Bmpr1b,BMP,Secreted Signaling
34,Bmp2,Acvr2a,BMP,Secreted Signaling
35,Bmp2,Bmpr1b,BMP,Secreted Signaling
36,Bmp2,Acvr2b,BMP,Secreted Signaling
37,Bmp2,Bmpr1b,BMP,Secreted Signaling
38,Bmp2,Bmpr2,BMP,Secreted Signaling
39,Bmp4,Bmpr1a,BMP,Secreted Signaling
40,Bmp4,Acvr2a,BMP,Secreted Signaling
41,Bmp4,Bmpr1a,BMP,Secreted Signaling
42,Bmp4,Acvr2b,BMP,Secreted Signaling
43,Bmp4,Bmpr1a,BMP,Secreted Signaling
44,Bmp4,Bmpr2,BMP,Secreted Signaling
45,Bmp4,Bmpr1b,BMP,Secreted Signaling
46,Bmp4,Acvr2a,BMP,Secreted Signaling
47,Bmp4,Bmpr1b,BMP,Secreted Signaling
48,Bmp4,Acvr2b,BMP,Secreted Signaling
49,Bmp4,Bmpr1b,BMP,Secreted Signaling
50,Bmp4,Bmpr2,BMP,Secreted Signaling
51,Gdf5,Bmpr1a,BMP,Secreted Signaling
52,Gdf5,Acvr2a,BMP,Secreted Signaling
53,Gdf5,Bmpr1a,BMP,Secreted Signaling
54,Gdf5,Acvr2b,BMP,Secreted Signaling
55,Gdf5,Bmpr1a,BMP,Secreted Signaling
56,Gdf5,Bmpr2,BMP,Secreted Signaling
57,Gdf5,Bmpr1b,BMP,Secreted Signaling
